country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Eritrea,ERI,2014-01-01,255243941.8575405,0.222927765265463,384.0,302103.81,666.4,100.72,62.5521162916986,1.4581159420289898
Eritrea,ERI,2015-01-01,255243941.8575405,0.222183152334565,384.0,306990.27,642.4,99.32,64.2047415865878,1.4706086956521705
Eritrea,ERI,2016-01-01,255243941.8575405,0.220821340174314,384.0,303673.43,639.7,99.96,63.0407965132505,2.78730434782609
Eritrea,ERI,2017-01-01,255243941.8575405,0.219023491697899,384.0,305644.26,642.2,100.67,64.040947729725,2.57153623188406
Eritrea,ERI,2018-01-01,181166226.7336415,0.216113957829589,384.0,305435.99,638.9,100.48,62.3580739319998,6.79972463768116
Eritrea,ERI,2019-01-01,255243941.8575405,0.212950212240378,384.0,304917.89,640.3,100.24,61.6762543399823,5.98663768115942
Eritrea,ERI,2020-01-01,255243941.8575405,0.209645453078765,384.0,305332.72,640.5,100.42,61.8914559413961,5.05830434782609
Eritrea,ERI,2021-01-01,255243941.8575405,0.205958898364657,384.0,305228.87,639.9,100.35,61.7758175679494,3.002
Eritrea,ERI,2022-01-01,280094861.7886175,0.207802175721711,384.0,305159.83,640.2,100.58,61.2711370644112,3.9483768115942
Eritrea,ERI,2023-01-01,209510191.8910445,0.2094545553025175,384.0,305038.86,640.25,100.41,60.8626404510475,4.96750724637681
Ethiopia,ETH,1961-01-01,4057214516.9082108,0.502143192796236,848.0,4203000.0,714.6,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1962-01-01,4057214516.9082108,0.510079489427302,848.0,4279000.0,702.3,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1963-01-01,4057214516.9082108,0.504562864667702,848.0,4304000.0,704.0,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1964-01-01,4057214516.9082108,0.4914531684130701,848.0,4453700.0,723.5,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1965-01-01,4057214516.9082108,0.493405924951622,848.0,4561100.0,732.3,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1966-01-01,4057214516.9082108,0.483715402376073,848.0,4661400.0,741.0,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1967-01-01,4057214516.9082108,0.474233767036702,848.0,4726200.0,744.4,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1968-01-01,4057214516.9082108,0.465108685458576,848.0,4653200.0,724.3,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1969-01-01,4057214516.9082108,0.462830072548337,848.0,4931700.0,758.7,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1970-01-01,4057214516.9082108,0.450247668557922,848.0,5070300.0,770.5,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1971-01-01,4057214516.9082108,0.44650184163653095,848.0,5232900.0,784.5,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1972-01-01,4057214516.9082108,0.442559097299273,848.0,5166300.0,803.5,28.299999999999997,77.70823317531635,12.600277460169801
Ethiopia,ETH,1973-01-01,4057214516.9082108,0.430937536101378,848.0,4370000.0,827.3,28.299999999999997,77.70823317531635,12.600277460169801
